current_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
Utah,2019,3162102,2661654,389057,95608,15783,Michigan,748
Vermont,2019,617560,536752,57776,21212,1820,Michigan,103
Virginia,2019,8439982,7201805,903735,264855,69587,Michigan,6012
Washington,2019,7527366,6253469,977928,231956,64013,Michigan,3703
West Virginia,2019,1773280,1563611,164739,39548,5382,Michigan,316
Wisconsin,2019,5760481,5001140,634732,107973,16636,Michigan,5307
Wyoming,2019,572884,473128,68127,30247,1382,Michigan,93
Puerto Rico,2019,3175835,2968876,169733,31144,6082,Michigan,6
Alabama,2010,4729509,3987155,620465,108723,13166,Minnesota,386
Alaska,2010,702974,565031,95878,36326,5739,Minnesota,530
Arizona,2010,6332786,5069002,1001991,222725,39068,Minnesota,5421
Arkansas,2010,2888304,2387806,412997,79127,8374,Minnesota,222
California,2010,36907897,30790221,5413287,444749,259640,Minnesota,5095
Colorado,2010,4988190,4042039,725413,186366,34372,Minnesota,2878
Connecticut,2010,3541146,3100742,342904,77333,20167,Minnesota,934
Delaware,2010,889812,764640,90001,30759,4412,Minnesota,55
District of Columbia ,2010,596747,474676,63766,51244,7061,Minnesota,87
Florida,2010,18647600,15554008,2459530,482889,151173,Minnesota,5439
Georgia,2010,9587237,8015409,1278548,249459,43821,Minnesota,1169
Hawaii,2010,1346274,1140572,134315,53581,17806,Minnesota,476
Idaho,2010,1550967,1279856,209272,55638,6201,Minnesota,465
Illinois,2010,12680126,11009852,1404525,203959,61790,Minnesota,4300
Indiana,2010,6414862,5431015,833086,127353,23408,Minnesota,916
Iowa,2010,3013053,2553210,375650,72557,11636,Minnesota,7564
Kansas,2010,2820894,2341401,372161,95059,12273,Minnesota,1562
Kentucky,2010,4296639,3638259,519887,118443,20050,Minnesota,930
Louisiana,2010,4483529,3826390,547291,97889,11959,Minnesota,569
Maine,2010,1313902,1136780,146735,27758,2629,Minnesota,91
Maryland,2010,5716785,4917637,588879,164484,45785,Minnesota,820
Massachusetts,2010,6489250,5583650,706624,140162,58814,Minnesota,2185
Michigan,2010,9762127,8310098,1291901,116149,43979,Minnesota,1275
Minnesota,2010,5244256,4480630,647946,89872,25808,Minnesota,0
Mississippi,2010,2931228,2510729,340266,72321,7912,Minnesota,863
Missouri,2010,5920858,4968921,786726,145226,19985,Minnesota,1701
Montana,2010,978507,821709,117752,35630,3416,Minnesota,1323
Nebraska,2010,1802697,1497138,247005,51290,7264,Minnesota,2254
Nevada,2010,2667364,2030410,517261,102677,17016,Minnesota,805
New Hampshire,2010,1303865,1118359,141213,39367,4926,Minnesota,240
New Jersey,2010,8709933,7841470,684482,127369,56612,Minnesota,322
New Mexico,2010,2039549,1735950,220663,73605,9331,Minnesota,179
New York,2010,19171916,16976205,1779540,269427,146744,Minnesota,1649
North Carolina,2010,9443000,7982017,1141001,263256,56726,Minnesota,1839
North Dakota,2010,665654,556222,75720,30100,3612,Minnesota,12350
Ohio,2010,11405101,9745227,1453401,172633,33840,Minnesota,2298
Oklahoma,2010,3716264,3065497,528824,106511,15432,Minnesota,599
Oregon,2010,3794008,3110896,545841,116700,20571,Minnesota,668
Pennsylvania,2010,12577555,11053022,1239199,235580,49754,Minnesota,1491
Rhode Island,2010,1042240,900283,99603,32059,10295,Minnesota,47
South Carolina,2010,4577399,3870879,537961,152441,16118,Minnesota,818
South Dakota,2010,805616,680993,96805,25777,2041,Minnesota,4615
Tennessee,2010,6282706,5299496,801355,159778,22077,Minnesota,1504
Texas,2010,24899075,20500156,3740344,486558,172017,Minnesota,6088
Utah,2010,2724064,2240636,388410,77780,17238,Minnesota,914
Vermont,2010,619363,534975,59032,22529,2827,Minnesota,85
Virginia,2010,7930773,6752310,870491,259507,48465,Minnesota,462
Washington,2010,6661321,5464985,946923,191784,57629,Minnesota,1323
West Virginia,2010,1833535,1625125,166168,39609,2633,Minnesota,0
Wisconsin,2010,5623196,4824045,691592,93065,14494,Minnesota,16741
Wyoming,2010,556954,444614,82255,28046,2039,Minnesota,218
Puerto Rico,2010,3676493,3392179,247593,31732,4989,Minnesota,50
Alabama,2011,4745278,4024442,588293,117726,14817,Minnesota,327
Alaska,2011,711962,571857,100280,35084,4741,Minnesota,593
Arizona,2011,6402301,5107496,1028366,222877,43562,Minnesota,3297
Arkansas,2011,2906632,2421746,405831,69845,9210,Minnesota,232
California,2011,37222678,31213310,5271168,468428,269772,Minnesota,5687
Colorado,2011,5048443,4048042,763233,202124,35044,Minnesota,3055
Connecticut,2011,3548667,3139496,316883,71502,20786,Minnesota,76
Delaware,2011,897187,775414,83156,33912,4705,Minnesota,201
District of Columbia ,2011,611608,489659,66519,48066,7364,Minnesota,409
Florida,2011,18863948,15742168,2454255,498597,168928,Minnesota,4663
Georgia,2011,9699859,8095407,1289450,271077,43925,Minnesota,1808
Hawaii,2011,1357806,1160948,122727,57542,16589,Minnesota,933
Idaho,2011,1559637,1284530,208434,60336,6337,Minnesota,566
Illinois,2011,12718402,11076528,1353853,216204,71817,Minnesota,4496
Indiana,2011,6437155,5478683,809158,127874,21440,Minnesota,1168
Iowa,2011,3027718,2573313,370554,70405,13446,Minnesota,5634
Kansas,2011,2833584,2372033,362782,83640,15129,Minnesota,679
Kentucky,2011,4316297,3686232,505741,110031,14293,Minnesota,475
Louisiana,2011,4518629,3865118,538691,99138,15682,Minnesota,698
Maine,2011,1315833,1120364,157102,33818,4549,Minnesota,296
Maryland,2011,5759087,5008452,553895,153979,42761,Minnesota,810
Massachusetts,2011,6515057,5658768,656441,139830,60018,Minnesota,862
Michigan,2011,9766574,8340767,1242917,139158,43732,Minnesota,2671
Minnesota,2011,5277329,4505462,646176,101029,24662,Minnesota,0
Mississippi,2011,2943021,2534036,332934,68511,7540,Minnesota,614
Missouri,2011,5937896,4963040,801046,149439,24371,Minnesota,2026
Montana,2011,987076,828254,122210,33553,3059,Minnesota,969
Nebraska,2011,1817126,1505191,253269,52070,6596,Minnesota,1455
Nevada,2011,2688336,2084668,480317,110345,13006,Minnesota,1055
New Hampshire,2011,1305678,1141236,122129,37000,5313,Minnesota,104
New Jersey,2011,8719952,7825661,693380,140194,60717,Minnesota,1261
New Mexico,2011,2055293,1753413,228218,62130,11532,Minnesota,438
New York,2011,19248685,17055260,1756105,282209,155111,Minnesota,1824
North Carolina,2011,9539412,8070238,1160510,265291,43373,Minnesota,1294
North Dakota,2011,675161,559906,79837,32510,2908,Minnesota,12244
Ohio,2011,11418944,9764366,1425709,191778,37091,Minnesota,1788
Oklahoma,2011,3742698,3089041,528498,108878,16281,Minnesota,497
Oregon,2011,3828714,3128121,549332,127906,23355,Minnesota,1413
Pennsylvania,2011,12610486,11099077,1224564,234291,52554,Minnesota,853
Rhode Island,2011,1040022,903786,101689,26769,7778,Minnesota,27
South Carolina,2011,4624180,3899705,546666,157644,20165,Minnesota,471
South Dakota,2011,814175,688436,94655,27506,3578,Minnesota,5342
Tennessee,2011,6333466,5342978,794556,170969,24963,Minnesota,445
Texas,2011,25327104,20984855,3648260,514726,179263,Minnesota,7691
Utah,2011,2769627,2295961,373984,85217,14465,Minnesota,939
Vermont,2011,621354,537304,60719,20463,2868,Minnesota,206
Virginia,2011,7996552,6789620,889751,257130,60051,Minnesota,834
Washington,2011,6748474,5565069,919925,208507,54973,Minnesota,1543
West Virginia,2011,1836614,1609110,172262,50068,5174,Minnesota,0
Wisconsin,2011,5647213,4846550,675623,109439,15601,Minnesota,17927
Wyoming,2011,561389,462808,66648,30651,1282,Minnesota,357
Puerto Rico,2011,3669195,3403602,238263,22649,4681,Minnesota,0
Alabama,2012,4764428,4054260,590326,104600,15242,Minnesota,752
Alaska,2012,721186,592551,90613,33415,4607,Minnesota,192
Arizona,2012,6468907,5242674,953789,232457,39987,Minnesota,8570
Arkansas,2012,2912680,2453347,373046,76948,9339,Minnesota,295
California,2012,37572738,31777868,5046618,493641,254611,Minnesota,8539
Colorado,2012,5123944,4131357,751921,205060,35606,Minnesota,2992
Connecticut,2012,3555319,3114940,334918,80311,25150,Minnesota,605
Delaware,2012,906576,782216,86003,34757,3600,Minnesota,351
District of Columbia ,2012,624847,500267,61992,53830,8758,Minnesota,393
Florida,2012,19114620,16032617,2380288,537148,164567,Minnesota,5460
Georgia,2012,9796547,8231384,1236302,277466,51395,Minnesota,2237
Hawaii,2012,1374852,1164145,134827,55145,20735,Minnesota,192
Idaho,2012,1573036,1296975,210151,59283,6627,Minnesota,637
Illinois,2012,12725119,11009321,1441191,208755,65852,Minnesota,6537
Indiana,2012,6457067,5493090,805228,134137,24612,Minnesota,1543
Iowa,2012,3035469,2585979,362938,75760,10792,Minnesota,7505
Kansas,2012,2848708,2361899,381695,88284,16830,Minnesota,682
Kentucky,2012,4328626,3676472,521511,112787,17856,Minnesota,605
Louisiana,2012,4545914,3912023,528406,91215,14270,Minnesota,330
Maine,2012,1315586,1132344,151438,27523,4281,Minnesota,430
Maryland,2012,5816472,5068457,549973,154983,43059,Minnesota,1422
Massachusetts,2012,6580641,5752166,626380,142577,59518,Minnesota,966
Michigan,2012,9778980,8330990,1268105,133981,45904,Minnesota,1127
Minnesota,2012,5315228,4536303,653012,101042,24871,Minnesota,0
Mississippi,2012,2947696,2529377,339807,73500,5012,Minnesota,568
Missouri,2012,5951913,4965459,801093,162930,22431,Minnesota,2798
Montana,2012,995544,829489,126463,37690,1902,Minnesota,481
Nebraska,2012,1829420,1540361,237937,43266,7856,Minnesota,1489
Nevada,2012,2725280,2105070,481496,124285,14429,Minnesota,1157
New Hampshire,2012,1309203,1127376,125118,50484,6225,Minnesota,0
New Jersey,2012,8772744,7929570,655465,130223,57486,Minnesota,570
New Mexico,2012,2060595,1769341,226243,54693,10318,Minnesota,284
New York,2012,19352153,17202134,1723117,270053,156849,Minnesota,1059
North Carolina,2012,9640490,8167830,1149080,273149,50431,Minnesota,1523
North Dakota,2012,689838,563978,84294,38213,3353,Minnesota,15257
Ohio,2012,11414635,9735390,1440815,196391,42039,Minnesota,1122
Oklahoma,2012,3762311,3107367,531347,108972,14625,Minnesota,906
Oregon,2012,3857465,3158450,560673,118925,19417,Minnesota,1792
Pennsylvania,2012,12630082,11107110,1252378,215500,55094,Minnesota,1169
Rhode Island,2012,1040527,899551,101165,33446,6365,Minnesota,131
South Carolina,2012,4668886,3929626,564350,156705,18205,Minnesota,757
South Dakota,2012,821669,676014,115606,26051,3998,Minnesota,3568
Tennessee,2012,6378278,5396833,783077,177098,21270,Minnesota,1178
Texas,2012,25711791,21354247,3656070,507752,193722,Minnesota,2803
Utah,2012,2805440,2324019,373980,87870,19571,Minnesota,385
Vermont,2012,620224,532237,61242,24431,2314,Minnesota,315
Virginia,2012,8085389,6857430,915242,250653,62064,Minnesota,2294
Washington,2012,6815763,5648199,904695,215494,47375,Minnesota,2703
West Virginia,2012,1837518,1613322,174112,47125,2959,Minnesota,20
Wisconsin,2012,5660677,4849945,693737,99192,17803,Minnesota,18965
Wyoming,2012,569734,459226,77324,31149,2035,Minnesota,290
Puerto Rico,2012,3628402,3366593,238042,20044,3723,Minnesota,0
Alabama,2013,4781296,4067683,594583,104102,14928,Minnesota,487
Alaska,2013,725193,583799,99953,34360,7081,Minnesota,111
Arizona,2013,6543362,5321158,941347,236146,44711,Minnesota,5618
Arkansas,2013,2923642,2475807,367837,70621,9377,Minnesota,289
California,2013,37873189,32197933,4898331,485477,291448,Minnesota,7376
Colorado,2013,5206012,4186643,778520,206543,34306,Minnesota,3754
Connecticut,2013,3562959,3127421,325895,88351,21292,Minnesota,775
Delaware,2013,914025,791278,81363,36790,4594,Minnesota,204
District of Columbia ,2013,636535,509958,68917,46571,11089,Minnesota,0
Florida,2013,19345059,16199361,2442119,529406,174173,Minnesota,5576
Georgia,2013,9870319,8256209,1279601,278972,55537,Minnesota,1074
Hawaii,2013,1387361,1177733,135860,58083,15685,Minnesota,911
Idaho,2013,1592596,1317235,205418,61592,8351,Minnesota,694
Illinois,2013,12740816,11036387,1411859,223605,68965,Minnesota,5643
Indiana,2013,6492306,5499346,835689,133508,23763,Minnesota,1955
Iowa,2013,3053635,2585189,380270,75650,12526,Minnesota,8281
Kansas,2013,2854869,2386028,363906,89735,15200,Minnesota,2294
Kentucky,2013,4345186,3665604,558412,103207,17963,Minnesota,1072
Louisiana,2013,4568320,3941211,519010,91889,16210,Minnesota,1050
Maine,2013,1315753,1128262,146334,36780,4377,Minnesota,185
Maryland,2013,5857213,5078020,572131,161525,45537,Minnesota,953
Massachusetts,2013,6619999,5724592,700613,135150,59644,Minnesota,739
Michigan,2013,9784094,8296283,1294706,144091,49014,Minnesota,1860
Minnesota,2013,5353441,4585137,636274,104825,27205,Minnesota,0
Mississippi,2013,2957797,2531410,350982,68588,6817,Minnesota,217
Missouri,2013,5973448,5015609,779132,159936,18771,Minnesota,2504
Montana,2013,1003013,827494,130187,40035,5297,Minnesota,931
Nebraska,2013,1842900,1546788,241707,45854,8551,Minnesota,772
Nevada,2013,2757365,2166730,447480,126583,16572,Minnesota,406
New Hampshire,2013,1310978,1128583,131200,44867,6328,Minnesota,36
New Jersey,2013,8803679,7941559,667248,136907,57965,Minnesota,697
New Mexico,2013,2059689,1764969,224508,56808,13404,Minnesota,332
New York,2013,19431954,17297785,1715158,272066,146945,Minnesota,1209
North Carolina,2013,9737365,8233641,1176351,275922,51451,Minnesota,1969
North Dakota,2013,714804,593677,78944,38908,3275,Minnesota,15790
Ohio,2013,11439593,9748676,1458505,185749,46663,Minnesota,1334
Oklahoma,2013,3801521,3131192,545546,109255,15528,Minnesota,870
Oregon,2013,3888216,3154813,571472,143841,18090,Minnesota,2457
Pennsylvania,2013,12639493,11113742,1240573,224280,60898,Minnesota,902
Rhode Island,2013,1040986,905093,94129,34108,7656,Minnesota,377
South Carolina,2013,4720602,4000306,537062,166047,17187,Minnesota,1989
South Dakota,2013,832703,691659,108713,30042,2289,Minnesota,5375
Tennessee,2013,6419226,5429144,779329,186525,24228,Minnesota,1669
Texas,2013,26087349,21658382,3695565,548034,185368,Minnesota,6721
Utah,2013,2854667,2361079,377528,97869,18191,Minnesota,587
Vermont,2013,621256,542002,53684,23180,2390,Minnesota,9
Virginia,2013,8163664,6874626,962359,266348,60331,Minnesota,1337
Washington,2013,6888552,5700703,927367,208215,52267,Minnesota,3477
West Virginia,2013,1837863,1621269,161679,51957,2958,Minnesota,232
Wisconsin,2013,5681024,4872672,688588,100846,18918,Minnesota,15722
Wyoming,2013,575933,469511,76905,27584,1933,Minnesota,399
Puerto Rico,2013,3579220,3329074,221047,24652,4447,Minnesota,43
Alabama,2014,4791931,4081522,589211,107919,13279,Minnesota,264
Alaska,2014,725206,585916,97358,37842,4090,Minnesota,406
Arizona,2014,6651964,5431241,922129,249730,48864,Minnesota,4541
Arkansas,2014,2931123,2464189,383087,74741,9106,Minnesota,846
California,2014,38340324,32849251,4659084,513968,318021,Minnesota,9449
Colorado,2014,5293943,4263998,777699,218728,33518,Minnesota,3673
Connecticut,2014,3558915,3111779,334207,82746,30183,Minnesota,858
Delaware,2014,924770,810905,77246,32166,4453,Minnesota,484
District of Columbia ,2014,648586,513634,67286,56234,11432,Minnesota,414
Florida,2014,19683763,16504838,2436619,546501,195805,Minnesota,5399
Georgia,2014,9970167,8406436,1238139,274095,51497,Minnesota,1288
Hawaii,2014,1401004,1198766,131974,58144,12120,Minnesota,60
Idaho,2014,1613068,1335689,207055,64633,5691,Minnesota,467
Illinois,2014,12730206,11021611,1430902,209536,68157,Minnesota,3934
Indiana,2014,6516181,5540754,810518,139846,25063,Minnesota,834
Iowa,2014,3067872,2594781,379518,79194,14379,Minnesota,8933
Kansas,2014,2866584,2378716,376239,96467,15162,Minnesota,1599
Kentucky,2014,4357819,3663490,575429,104975,13925,Minnesota,640
Louisiana,2014,4593505,3970442,511702,97814,13547,Minnesota,404
Maine,2014,1317638,1138397,134611,39065,5565,Minnesota,237
Maryland,2014,5911235,5091903,615601,156787,46944,Minnesota,688
Massachusetts,2014,6674907,5784744,672510,146622,71031,Minnesota,922
Michigan,2014,9795659,8336037,1261495,149991,48136,Minnesota,2002
Minnesota,2014,5385219,4612655,635880,106783,29901,Minnesota,0
Mississippi,2014,2957658,2554296,321236,73927,8199,Minnesota,68
Missouri,2014,5992195,5042396,776519,153320,19960,Minnesota,1394
Montana,2014,1012169,845142,126508,37561,2958,Minnesota,739
Nebraska,2014,1855356,1541744,252232,52200,9180,Minnesota,2135
Nevada,2014,2806170,2235861,426512,130390,13407,Minnesota,1522
New Hampshire,2014,1314735,1134514,133298,41393,5530,Minnesota,0
New Jersey,2014,8840346,7961796,686056,128911,63583,Minnesota,1277
New Mexico,2014,2060189,1770053,212456,68917,8763,Minnesota,577
New York,2014,19528220,17418181,1693064,258571,158404,Minnesota,1221
North Carolina,2014,9832152,8332705,1166928,286533,45986,Minnesota,2427
North Dakota,2014,729874,602508,85084,39059,3223,Minnesota,13756
Ohio,2014,11464891,9742065,1484132,196742,41952,Minnesota,1631
Oklahoma,2014,3827288,3148699,550149,111346,17094,Minnesota,846
Oregon,2014,3927857,3196441,571056,137008,23352,Minnesota,2717
Pennsylvania,2014,12645888,11103966,1241534,232889,67499,Minnesota,1521
Rhode Island,2014,1045791,906936,98869,32621,7365,Minnesota,428
South Carolina,2014,4780659,4046123,542930,171969,19637,Minnesota,1111
South Dakota,2014,842076,701352,109496,28198,3030,Minnesota,4321
Tennessee,2014,6471445,5465071,796577,182130,27667,Minnesota,962
Texas,2014,26588600,22151594,3681042,538572,217392,Minnesota,6946
Utah,2014,2894001,2407608,374578,90234,21581,Minnesota,904
Vermont,2014,620898,536915,59850,22635,1498,Minnesota,2
Virginia,2014,8224054,6891144,995822,262477,74611,Minnesota,3606
Washington,2014,6979369,5757065,934922,220259,67123,Minnesota,1788
West Virginia,2014,1831414,1617510,162340,47957,3607,Minnesota,147
Wisconsin,2014,5692727,4868506,688104,117831,18286,Minnesota,20758
Wyoming,2014,577782,475740,74601,25992,1449,Minnesota,173
Puerto Rico,2014,3511186,3251389,237197,19771,2829,Minnesota,542
Alabama,2015,4801599,4113945,561019,114876,11759,Minnesota,193
Alaska,2015,727862,582909,105769,34696,4488,Minnesota,1173
Arizona,2015,6747595,5536087,910911,253281,47316,Minnesota,8499
Arkansas,2015,2938341,2440359,407352,81594,9036,Minnesota,114
California,2015,38675135,33446324,4377667,514477,336667,Minnesota,4887
Colorado,2015,5393067,4404058,728077,227445,33487,Minnesota,5443
Connecticut,2015,3554844,3109580,340126,76997,28141,Minnesota,548
Delaware,2015,935813,800701,86009,44495,4608,Minnesota,81
District of Columbia ,2015,663006,525024,67188,59905,10889,Minnesota,545
Florida,2015,20068392,16832374,2438828,584938,212252,Minnesota,5433
Georgia,2015,10088525,8489689,1259007,283325,56504,Minnesota,3078
Hawaii,2015,1414355,1206066,136796,53742,17751,Minnesota,733
Idaho,2015,1635366,1333758,218791,73809,9008,Minnesota,533
Illinois,2015,12706393,11029917,1399829,209828,66819,Minnesota,4832
Indiana,2015,6540691,5527512,843210,147529,22440,Minnesota,1620
Iowa,2015,3081446,2598298,386465,85937,10746,Minnesota,8401
Kansas,2015,2875640,2405677,360715,91340,17908,Minnesota,729
Kentucky,2015,4373403,3706705,543811,106918,15969,Minnesota,509
Louisiana,2015,4612024,4007364,496223,93321,15116,Minnesota,592
Maine,2015,1317444,1127394,156271,30123,3656,Minnesota,25
Maryland,2015,5934005,5076791,638788,168894,49532,Minnesota,638
Massachusetts,2015,6725678,5893936,634359,132642,64741,Minnesota,1433
Michigan,2015,9811416,8394658,1229302,142639,44817,Minnesota,3209
Minnesota,2015,5419822,4618325,661383,108476,31638,Minnesota,0
Mississippi,2015,2959289,2554660,327854,69351,7424,Minnesota,10
Missouri,2015,6015580,5056661,777061,159152,22706,Minnesota,2813
Montana,2015,1019646,855861,118200,42760,2825,Minnesota,633
Nebraska,2015,1869217,1570592,236217,52950,9458,Minnesota,2156
Nevada,2015,2859489,2291842,413831,135999,17817,Minnesota,2966
New Hampshire,2015,1318121,1134482,122442,53446,7751,Minnesota,431
New Jersey,2015,8854363,7987859,656570,144074,65860,Minnesota,715
New Mexico,2015,2060441,1767704,228103,55753,8881,Minnesota,318
New York,2015,19570171,17506652,1653268,257611,152640,Minnesota,1876
North Carolina,2015,9927547,8376304,1194157,310612,46474,Minnesota,2635
North Dakota,2015,745291,608377,90498,42618,3798,Minnesota,13712
Ohio,2015,11482142,9719944,1508889,203475,49834,Minnesota,1772
Oklahoma,2015,3864908,3202689,532976,110878,18365,Minnesota,1015
Oregon,2015,3985712,3277453,544776,141162,22321,Minnesota,2035
Pennsylvania,2015,12662192,11109753,1258572,232683,61184,Minnesota,1799
Rhode Island,2015,1045062,901338,97722,38344,7658,Minnesota,58
South Carolina,2015,4839984,4106166,543488,170366,19964,Minnesota,987
South Dakota,2015,848285,702122,116343,26962,2858,Minnesota,3878
Tennessee,2015,6522259,5535963,766524,195923,23849,Minnesota,1667
Texas,2015,27092848,22723345,3594282,553032,222189,Minnesota,4956
Utah,2015,2947423,2435722,390649,97361,23691,Minnesota,519
Vermont,2015,619952,532319,62067,21232,4334,Minnesota,10
Virginia,2015,8283737,6952362,983569,277715,70091,Minnesota,2788
Washington,2015,7089143,5778806,1017221,230907,62209,Minnesota,3503
West Virginia,2015,1823753,1610407,167631,42078,3637,Minnesota,371
Wisconsin,2015,5708201,4891636,690306,106511,19748,Minnesota,19812
Wyoming,2015,579102,474927,65384,35947,2844,Minnesota,788
Puerto Rico,2015,3443445,3193423,219833,24762,5427,Minnesota,0
Alabama,2016,4810126,4141850,529994,122220,16062,Minnesota,122
Alaska,2016,731760,593897,100004,31300,6559,Minnesota,236
Arizona,2016,6851836,5586753,938077,273257,53749,Minnesota,5461
Arkansas,2016,2949650,2484705,384811,71083,9051,Minnesota,449
California,2016,38783436,33594813,4337251,514758,336614,Minnesota,10897
Colorado,2016,5476928,4466067,754712,223260,32889,Minnesota,3725
Connecticut,2016,3541758,3116440,323316,75586,26416,Minnesota,780
Delaware,2016,942073,817779,85147,33400,5747,Minnesota,0
District of Columbia ,2016,672022,538547,64166,58154,11155,Minnesota,542
Florida,2016,20401575,17176492,2387227,605018,232838,Minnesota,6778
Georgia,2016,10179860,8514847,1290632,305040,69341,Minnesota,3166
Hawaii,2016,1410258,1217704,117894,57229,17431,Minnesota,464
Idaho,2016,1663756,1369449,214222,71556,8529,Minnesota,426
Illinois,2016,12654142,10996695,1387848,203713,65886,Minnesota,3566
Indiana,2016,6554084,5580090,801425,145782,26787,Minnesota,1989
Iowa,2016,3097283,2622577,383520,78263,12923,Minnesota,7633
Kansas,2016,2870529,2394351,369971,88830,17377,Minnesota,1192
Kentucky,2016,4385213,3698797,553718,113238,19460,Minnesota,947
Louisiana,2016,4622042,3994321,526380,85371,15970,Minnesota,415
Maine,2016,1319292,1146220,129892,38590,4590,Minnesota,224
Maryland,2016,5949566,5140378,606423,158647,44118,Minnesota,661
Massachusetts,2016,6745441,5866016,657022,149408,72995,Minnesota,561
Michigan,2016,9813772,8362412,1240633,155874,54853,Minnesota,2661
Minnesota,2016,5455904,4669227,645164,111307,30206,Minnesota,0
Mississippi,2016,2951081,2556013,324577,64639,5852,Minnesota,81
Missouri,2016,6022165,5078669,758791,162809,21896,Minnesota,1893
Montana,2016,1032794,863174,128300,37775,3545,Minnesota,2089
Nebraska,2016,1882987,1573126,248118,51448,10295,Minnesota,1656
Nevada,2016,2907243,2400809,374058,117899,14477,Minnesota,1320
New Hampshire,2016,1322101,1122068,140603,52457,6973,Minnesota,247
New Jersey,2016,8852286,7934689,703637,144359,69601,Minnesota,508
New Mexico,2016,2057857,1768040,214411,64802,10604,Minnesota,811
New York,2016,19526443,17465164,1634487,260723,166069,Minnesota,1309
North Carolina,2016,10032407,8460264,1190972,330896,50275,Minnesota,1782
North Dakota,2016,746271,620891,91010,29655,4715,Minnesota,11684
Ohio,2016,11481752,9755589,1482286,195396,48481,Minnesota,2793
Oklahoma,2016,3873232,3225478,530770,102000,14984,Minnesota,528
Oregon,2016,4052221,3307805,577950,139334,27132,Minnesota,724
Pennsylvania,2016,12645493,11016361,1308271,252060,68801,Minnesota,1557
Rhode Island,2016,1045691,898574,106725,32800,7592,Minnesota,141
South Carolina,2016,4903788,4176954,542415,165230,19189,Minnesota,621
South Dakota,2016,853832,720262,97747,31789,4034,Minnesota,4991
Tennessee,2016,6580953,5644022,742615,170867,23449,Minnesota,2484
Texas,2016,27472626,23105984,3599897,531996,234749,Minnesota,6795
Utah,2016,3002244,2474308,396018,107083,24835,Minnesota,811
Vermont,2016,619387,535268,60744,21262,2113,Minnesota,7
Virginia,2016,8312297,7008805,961003,264164,78325,Minnesota,1194
Washington,2016,7202119,5924723,958326,257728,61342,Minnesota,4153
West Virginia,2016,1810709,1582818,176953,47196,3742,Minnesota,0
Wisconsin,2016,5712104,4876817,696530,118814,19943,Minnesota,18036
Wyoming,2016,577567,472996,75995,26471,2105,Minnesota,473
Puerto Rico,2016,3384760,3143116,216969,21196,3479,Minnesota,0
Alabama,2017,4819343,4158224,535649,111803,13667,Minnesota,420
Alaska,2017,730874,595804,98168,30199,6703,Minnesota,1077
Arizona,2017,6935358,5717189,911120,261727,45322,Minnesota,7093
Arkansas,2017,2968395,2509717,370309,79411,8958,Minnesota,808
California,2017,39085984,34009331,4234770,523131,318752,Minnesota,7487
Colorado,2017,5542282,4546729,734182,226933,34438,Minnesota,4369
Connecticut,2017,3556297,3136666,311726,83325,24580,Minnesota,160
Delaware,2017,952449,830905,78998,38532,4014,Minnesota,45
District of Columbia ,2017,684810,554225,64013,56231,10341,Minnesota,436
Florida,2017,20772371,17554348,2402381,566476,249166,Minnesota,7614
Georgia,2017,10299497,8760762,1202587,278889,57259,Minnesota,2591
Hawaii,2017,1410750,1231340,115683,46457,17270,Minnesota,97
Idaho,2017,1694182,1405344,210310,71899,6629,Minnesota,348
Illinois,2017,12659328,11026895,1365922,195092,71419,Minnesota,5286
Indiana,2017,6591598,5633171,792487,142290,23650,Minnesota,1400
Iowa,2017,3106880,2654666,362905,77072,12237,Minnesota,6834
Kansas,2017,2876925,2413141,366147,86154,11483,Minnesota,679
Kentucky,2017,4404279,3721100,563721,103985,15473,Minnesota,577
Louisiana,2017,4629962,4030674,513676,72836,12776,Minnesota,84
Maine,2017,1322591,1140136,144186,34252,4017,Minnesota,241
Maryland,2017,5988007,5168350,605885,165654,48118,Minnesota,731
Massachusetts,2017,6789798,5888011,677835,146299,77653,Minnesota,1814
Michigan,2017,9851330,8450559,1203536,148787,48448,Minnesota,1175
Minnesota,2017,5510902,4728748,643272,115623,23259,Minnesota,0
Mississippi,2017,2946971,2553271,313673,73549,6478,Minnesota,331
Missouri,2017,6039877,5108238,742205,164957,24477,Minnesota,1672
Montana,2017,1039170,883342,116400,35456,3972,Minnesota,948
Nebraska,2017,1894217,1586729,243792,52507,11189,Minnesota,2713
Nevada,2017,2963456,2430163,383067,133074,17152,Minnesota,1687
New Hampshire,2017,1330742,1134244,137212,52893,6393,Minnesota,43
New Jersey,2017,8910191,7968039,710807,152106,79239,Minnesota,894
New Mexico,2017,2062628,1801560,193225,57255,10588,Minnesota,307
New York,2017,19638923,17553033,1655152,285252,145486,Minnesota,1973
North Carolina,2017,10158556,8649400,1139260,313834,56062,Minnesota,2769
North Dakota,2017,744641,609017,92436,37315,5873,Minnesota,13844
Ohio,2017,11520109,9822847,1452745,198929,45588,Minnesota,1362
Oklahoma,2017,3875922,3216306,542724,101961,14931,Minnesota,1083
Oregon,2017,4102048,3405784,520747,149513,26004,Minnesota,930
Pennsylvania,2017,12674642,11072942,1292389,250120,59191,Minnesota,1630
Rhode Island,2017,1048549,922210,83440,36850,6049,Minnesota,0
